end,value,state,type
01/08/2000,298000,nat,h
1/15/2000,289000,nat,h
1/22/2000,284000,nat,h
1/29/2000,285000,nat,h
02/05/2000,312000,nat,h
02/12/2000,300000,nat,h
2/19/2000,283000,nat,h
2/26/2000,280000,nat,h
03/04/2000,286000,nat,h
03/11/2000,270000,nat,h
3/18/2000,271000,nat,h
3/25/2000,272000,nat,h
04/01/2000,266000,nat,h
04/08/2000,268000,nat,h
4/15/2000,259000,nat,h
4/22/2000,274000,nat,h
4/29/2000,291000,nat,h
05/06/2000,293000,nat,h
5/13/2000,276000,nat,h
5/20/2000,280000,nat,h
5/27/2000,280000,nat,h
06/03/2000,290000,nat,h
06/10/2000,284000,nat,h
6/17/2000,294000,nat,h
6/24/2000,296000,nat,h
07/01/2000,281000,nat,h
07/08/2000,293000,nat,h
7/15/2000,303000,nat,h
7/22/2000,300000,nat,h
7/29/2000,298000,nat,h
08/05/2000,306000,nat,h
08/12/2000,315000,nat,h
8/19/2000,318000,nat,h
8/26/2000,312000,nat,h
09/02/2000,301000,nat,h
09/09/2000,309000,nat,h
9/16/2000,311000,nat,h
9/23/2000,288000,nat,h
9/30/2000,292000,nat,h
10/07/2000,309000,nat,h
10/14/2000,299000,nat,h
10/21/2000,295000,nat,h
10/28/2000,301000,nat,h
11/04/2000,331000,nat,h
11/11/2000,318000,nat,h
11/18/2000,332000,nat,h
11/25/2000,356000,nat,h
12/02/2000,338000,nat,h
12/09/2000,321000,nat,h
12/16/2000,354000,nat,h
12/23/2000,364000,nat,h
12/30/2000,353000,nat,h
01/06/2001,337000,nat,h
1/13/2001,318000,nat,h
1/20/2001,343000,nat,h
1/27/2001,362000,nat,h
02/03/2001,376000,nat,h
02/10/2001,365000,nat,h
2/17/2001,358000,nat,h
2/24/2001,386000,nat,h
03/03/2001,384000,nat,h
03/10/2001,393000,nat,h
3/17/2001,393000,nat,h
3/24/2001,378000,nat,h
3/31/2001,388000,nat,h
04/07/2001,398000,nat,h
4/14/2001,383000,nat,h
4/21/2001,400000,nat,h
4/28/2001,406000,nat,h
05/05/2001,381000,nat,h
05/12/2001,390000,nat,h
5/19/2001,402000,nat,h
5/26/2001,405000,nat,h
06/02/2001,406000,nat,h
06/09/2001,411000,nat,h
6/16/2001,394000,nat,h
6/23/2001,381000,nat,h
6/30/2001,394000,nat,h
07/07/2001,401000,nat,h
7/14/2001,405000,nat,h
7/21/2001,398000,nat,h
7/28/2001,388000,nat,h
08/04/2001,401000,nat,h
08/11/2001,394000,nat,h
8/18/2001,402000,nat,h
8/25/2001,395000,nat,h
09/01/2001,402000,nat,h
09/08/2001,408000,nat,h
9/15/2001,395000,nat,h
9/22/2001,453000,nat,h
9/29/2001,517000,nat,h
10/06/2001,476000,nat,h
10/13/2001,482000,nat,h
10/20/2001,482000,nat,h
10/27/2001,483000,nat,h
11/03/2001,440000,nat,h
11/10/2001,428000,nat,h
11/17/2001,431000,nat,h
11/24/2001,491000,nat,h
12/01/2001,465000,nat,h
12/08/2001,393000,nat,h
12/15/2001,389000,nat,h
12/22/2001,416000,nat,h
12/29/2001,421000,nat,h
01/05/2002,397000,nat,h
01/12/2002,418000,nat,h
1/19/2002,405000,nat,h
1/26/2002,414000,nat,h
02/02/2002,404000,nat,h
02/09/2002,397000,nat,h
2/16/2002,397000,nat,h
2/23/2002,398000,nat,h
03/02/2002,392000,nat,h
03/09/2002,399000,nat,h
3/16/2002,392000,nat,h
3/23/2002,415000,nat,h
3/30/2002,479000,nat,h
04/06/2002,445000,nat,h
4/13/2002,442000,nat,h
4/20/2002,416000,nat,h
4/27/2002,414000,nat,h
05/04/2002,409000,nat,h
05/11/2002,413000,nat,h
5/18/2002,411000,nat,h
5/25/2002,403000,nat,h
06/01/2002,378000,nat,h
06/08/2002,388000,nat,h
6/15/2002,396000,nat,h
6/22/2002,388000,nat,h
6/29/2002,386000,nat,h
07/06/2002,391000,nat,h
7/13/2002,384000,nat,h
7/20/2002,379000,nat,h
7/27/2002,390000,nat,h
08/03/2002,388000,nat,h
08/10/2002,389000,nat,h
8/17/2002,399000,nat,h
8/24/2002,398000,nat,h
8/31/2002,394000,nat,h
09/07/2002,416000,nat,h
9/14/2002,412000,nat,h
9/21/2002,401000,nat,h
9/28/2002,409000,nat,h
10/05/2002,404000,nat,h
10/12/2002,405000,nat,h
10/19/2002,412000,nat,h
10/26/2002,409000,nat,h
11/02/2002,405000,nat,h
11/09/2002,400000,nat,h
11/16/2002,389000,nat,h
11/23/2002,390000,nat,h
11/30/2002,377000,nat,h
12/07/2002,425000,nat,h
12/14/2002,429000,nat,h
12/21/2002,394000,nat,h
12/28/2002,409000,nat,h
01/04/2003,393000,nat,h
01/11/2003,378000,nat,h
1/18/2003,402000,nat,h
1/25/2003,407000,nat,h
02/01/2003,413000,nat,h
02/08/2003,390000,nat,h
2/15/2003,420000,nat,h
2/22/2003,421000,nat,h
03/01/2003,436000,nat,h
03/08/2003,424000,nat,h
3/15/2003,430000,nat,h
3/22/2003,411000,nat,h
3/29/2003,436000,nat,h
04/05/2003,417000,nat,h
04/12/2003,434000,nat,h
4/19/2003,450000,nat,h
4/26/2003,444000,nat,h
